LABNR,C14AGE,C14STD,C13,METHOD,MATERIAL,COUNTRY,SITE,FEATURE,FEATURE_DESC,DEPTH,LAT,LONG,PHASE,LITHICS,POTTERY,IRON,FRUIT,ZOO,CLASS,REMARK,SOURCE
Beta-182573,1930,60,,,-,CMR,Ndjoré,-,-,0.9,4.396,11.829,,indet,indet,slag,-,,Ib,,Lavachery et al. 2010
Beta-182574,2020,60,,,-,CMR,Ndjoré,-,-,0.8,4.396,11.829,,indet,indet,-,-,,Ib,,Lavachery et al. 2010
Beta-182575,1810,60,,,-,CMR,Ndjoré,-,-,0.5,4.396,11.829,,indet,indet,-,-,,Ib,,Lavachery et al. 2010
Beta-182576,1870,40,,,-,CMR,Ndjoré,-,-,0.5,4.396,11.829,,-,indet,slag,-,,Ib,,Lavachery et al. 2010
Beta-182577,0,,,,-,CMR,Ndjoré,-,-,1.275,4.396,11.829,,-,indet,slag,-,,Ib,,Lavachery et al. 2010
Beta-182578,1980,80,,,-,CMR,Ndokoa,-,Pit,0.7,4.436,11.86,,-,indet,-,-,,Ib,,Lavachery et al. 2010
Beta-182579,2630,70,,,-,CMR,Zili,-,Pit,,4.488,11.985,,indet,indet,indet,Cs,,Ib,"Zili is likely to be one of the very first sedentary settlements in southern Cameroon, probably occupied by populations practicing intensive arboriculture",Lavachery et al. 2005; Eggert et al. 2006: 277 Tab. 2
Beta-182580,2020,60,,,-,CMR,Doumba,-,Pit,1.73,4.576,12.22,,-,indet,indet,,-,Ib,,Lavachery et al. 2005
Beta-182581,2190,60,,,-,CMR,Nanga Eboko,-,-,0.4,4.649,12.394,,-,indet,-,,-,Ib,,Lavachery et al. 2010
Beta-182582,2040,80,,,-,CMR,Nanga Eboko,-,-,0.4,4.649,12.394,,-,indet,-,,-,Ib,,Lavachery et al. 2010
Beta-182583,2360,60,,,-,CMR,Meyang,-,-,1.1,4.777,12.687,,-,indet,-,Eg,,Ib,,Lavachery et al. 2005
Beta-182584,2110,60,,,-,CMR,Meyang,-,-,0.7,4.777,12.687,,-,indet,-,Eg,,Ib,,Lavachery et al. 2005
